Column fy Mpa,Beam fy Mpa,Columns 1-3 I mm4*10^6,Columns 4-6 I mm4*10^6,Columns 1-3 A mm2,Columns 4-6 A mm2,Beam I mm4*10^6,Spans,Number of floors,Floor height m,Span width m,LLRS tributary width m,Floor mass kg,Facade Load kN/m,PGA g,Magnitude,Distance to fault km,Period s,Max drift mm,Final Dead Load,Final Live Load,soil_class__B,soil_class__C
275.0,235.0,16.73,10.33,3877.0,3142.0,1119.0,5.0,4.0,4.0,8.0,17.5,271342.17,3.0,0.171,6.0,17.28,5.178485862913375,35.0521223455511,10.5,7.0,0.0,1.0
235.0,235.0,229.3,182.6,12437.0,11253.0,117.7,3.0,6.0,4.0,8.0,20.0,196435.008,4.0,0.15,6.33,18.96,4.539963992760377,89.3103311119768,12.0,8.0,0.0,1.0
275.0,235.0,276.9,0.0,13347.0,0.0,117.7,6.0,3.0,4.0,5.0,10.0,218011.86,1.0,0.171,6.0,17.28,1.41202629408136,31.485753157638303,15.0,10.0,0.0,1.0
235.0,235.0,10.33,6.062,3142.0,2534.0,920.8,6.0,6.0,3.0,5.0,4.0,43031.34,1.0,0.283,7.28,19.74,2.4905107307689462,27.250323443685097,4.0,10.0,0.0,1.0
355.0,355.0,330.9,0.0,14276.0,0.0,920.8,3.0,2.0,4.0,6.0,2.0,25419.0816,4.0,0.171,6.0,17.28,0.3134257124627942,5.1096165572733,8.0,4.0,0.0,1.0
275.0,275.0,1119.0,0.0,21176.0,0.0,83.56,4.0,3.0,3.0,6.0,6.0,29220.5232,3.0,0.15,6.33,18.96,0.3951347057340146,6.586955409860299,3.0,3.0,0.0,1.0
235.0,235.0,10.33,6.062,3142.0,2534.0,231.3,1.0,5.0,3.5,4.0,8.0,11730.6288,3.0,0.3,6.6,10.27,2.561486072614303,67.47923518834,4.0,12.0,1.0,0.0
235.0,235.0,54.1,36.92,6434.0,5383.0,57.9,4.0,5.0,4.0,7.0,9.0,56532.168000000005,0.0,0.123,6.19,12.9,2.790099246969342,19.682563538467,3.0,15.0,0.0,1.0
275.0,235.0,869.7,0.0,19754.0,0.0,920.8,5.0,3.0,3.5,7.0,2.0,20781.486,3.0,0.283,7.28,19.74,0.2327329892380296,6.240614072797,2.0,2.0,0.0,1.0
235.0,235.0,3034.0,2153.0,28583.0,26048.0,1119.0,1.0,6.0,3.5,4.0,12.0,35697.6576,4.0,0.1,6.1,32.84,0.8547427790050298,9.8667811441303,16.0,16.0,1.0,0.0
235.0,235.0,1119.0,0.0,21176.0,0.0,337.4,3.0,2.0,3.0,5.0,2.5,26614.17,0.0,0.283,7.28,19.74,0.184523562583187,5.2853943402712,15.0,10.0,0.0,1.0
235.0,235.0,16.73,0.0,3877.0,0.0,337.4,4.0,2.0,3.0,3.0,12.0,95003.4096,3.0,0.283,7.28,19.74,1.2237880465852855,43.497527882082,10.0,6.0,0.0,1.0
275.0,275.0,6.062,0.0,2534.0,0.0,83.56,3.0,1.0,3.5,8.0,12.0,163674.0864,2.0,0.283,7.28,19.74,2.290467865821318,55.105101919728796,15.0,3.0,0.0,1.0
355.0,235.0,3.492,0.0,2124.0,0.0,920.8,6.0,2.0,4.0,5.0,16.0,195619.248,4.0,0.14,5.9,25.5,4.789651469997805,12.0675476897752,12.0,8.0,0.0,1.0
